372;msec;922;
373;msec;865;
372;msec;769;
374;msec;692;
372;msec;659;
372;msec;577;
372;msec;513;
372;msec;494;
374;msec;461;
374;msec;433;
374;msec;419;
374;msec;385;
374;msec;355;
374;msec;346;
372;msec;330;
373;msec;315;
372;msec;308;
374;msec;289;
373;msec;272;
373;msec;266;
373;msec;257;
375;msec;247;
375;msec;243;
375;msec;231;
373;msec;220;
376;msec;217;
375;msec;210;
375;msec;204;
376;msec;201;
376;msec;193;
375;msec;185;
376;msec;182;
375;msec;178;
376;msec;173;
375;msec;171;
377;msec;165;
377;msec;159;
376;msec;158;
377;msec;154;
378;msec;151;
377;msec;149;
377;msec;145;
377;msec;140;
378;msec;139;
379;msec;136;
376;msec;133;
378;msec;132;
379;msec;129;
379;msec;125;
379;msec;124;
378;msec;122;
378;msec;120;
379;msec;119;
379;msec;116;
380;msec;113;
379;msec;112;
380;msec;110;
381;msec;109;
381;msec;108;
382;msec;105;
381;msec;103;
382;msec;102;
382;msec;101;
382;msec;100;
