9.621075582504272461e+01,9.829998016357421875e-04,6.662998199462890625e-01,1.080036163330078125e-04
9.640582799911499023e+01,1.011848449707031250e-03,6.645588874816894531e-01,1.060962677001953125e-04
9.629494500160217285e+01,1.024007797241210938e-03,6.647930145263671875e-01,1.080036163330078125e-04
9.639878606796264648e+01,1.021146774291992188e-03,6.654760837554931641e-01,1.089572906494140625e-04
9.627722287178039551e+01,1.001119613647460938e-03,6.654639244079589844e-01,1.101493835449218750e-04
9.802734994888305664e+01,1.008033752441406250e-03,6.645839214324951172e-01,1.089572906494140625e-04
9.628474020957946777e+01,1.046180725097656250e-03,6.643171310424804688e-01,1.049041748046875000e-04
9.634573602676391602e+01,1.008987426757812500e-03,6.654539108276367188e-01,1.099109649658203125e-04
9.621562099456787109e+01,1.011133193969726562e-03,6.651289463043212891e-01,1.080036163330078125e-04
9.631710815429687500e+01,1.009225845336914062e-03,6.649010181427001953e-01,1.089572906494140625e-04
