6.2;sec;100;
6.85;sec;99;
5.39;sec;98;
5.54;sec;97;
5.27;sec;96;
6.69;sec;95;
7.3;sec;94;
7.69;sec;93;
7.81;sec;92;
7;sec;91;
7.75;sec;90;
6.58;sec;89;
6.88;sec;88;
7.57;sec;87;
6.58;sec;86;
6.94;sec;85;
5.08;sec;84;
5.51;sec;83;
6.4;sec;82;
5.56;sec;81;
5.92;sec;80;
6.73;sec;79;
6.98;sec;78;
6.22;sec;77;
5.76;sec;76;
6.3;sec;75;
6;sec;74;
6.92;sec;73;
5.87;sec;72;
6.83;sec;71;
5.97;sec;70;
5.94;sec;69;
5.76;sec;68;
6.78;sec;67;
7.04;sec;66;
6.87;sec;65;
7;sec;64;
5.82;sec;63;
5.3;sec;62;
6.04;sec;61;
6.05;sec;60;
7.2;sec;59;
6.96;sec;58;
6.62;sec;57;
6.12;sec;56;
6.24;sec;55;
6.27;sec;54;
7.07;sec;53;
6.05;sec;52;
7.07;sec;51;
6.94;sec;50;
5.06;sec;49;
4.72;sec;48;
4.78;sec;47;
5.17;sec;46;
5.09;sec;45;
4.75;sec;44;
5.05;sec;43;
5.11;sec;42;
5.09;sec;41;
4.86;sec;40;
4.79;sec;39;
5.15;sec;38;
5.17;sec;37;
5.16;sec;36;
4.96;sec;35;
4.9;sec;34;
5.34;sec;33;
5.62;sec;32;
5.06;sec;31;
5;sec;30;
5.34;sec;29;
5.19;sec;28;
5.5;sec;27;
5.18;sec;26;
5.6;sec;25;
5.27;sec;24;
5.33;sec;23;
5.8;sec;22;
5.9;sec;21;
5.6;sec;20;
6.06;sec;19;
6.2;sec;18;
6.36;sec;17;
6.6;sec;16;
7.17;sec;15;
6.8;sec;14;
7.78;sec;13;
8.06;sec;12;
9.22;sec;11;
9.73;sec;10;
10.5;sec;9;
12.2;sec;8;
13.6;sec;7;
18.4;sec;6;
24.3;sec;5;
33.5;sec;4;
58.7;sec;3;
123;sec;2;
